nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity
         1,-1.500000037E-01,-2.346499996E-08, 0.000000000E+00, 5.433946159E-01
         2, 3.000000109E-01,-2.346500038E-08, 0.000000000E+00, 1.037135386E+00
         3, 4.499999767E-01,-2.346500000E-08, 0.000000000E+00, 8.826050195E-01
         4, 7.499999865E-01,-2.346500000E-08, 0.000000000E+00, 6.200362339E-01
         5, 1.049999957E+00,-2.346499757E-08, 0.000000000E+00, 5.299488357E-01
         6, 1.499999992E+00,-2.346499963E-08, 0.000000000E+00, 5.041286692E-01
         7, 2.099999885E+00,-2.346499957E-08, 0.000000000E+00, 4.970798582E-01
         8, 3.000000046E+00,-2.346500025E-08, 0.000000000E+00, 5.008756730E-01
         9,-1.500000022E-01,-2.346499995E-08, 5.000000080E-04, 7.583248146E-01
        10, 3.000000109E-01,-2.346500038E-08, 5.000000149E-04, 1.256552248E+00
        11, 4.499999767E-01,-2.346500001E-08, 5.000000075E-04, 1.102961202E+00
        12, 7.499999865E-01,-2.346500001E-08, 5.000000075E-04, 8.350242952E-01
        13, 1.049999957E+00,-2.346499757E-08, 5.000000075E-04, 7.423390942E-01
        14, 1.499999992E+00,-2.346499963E-08, 5.000000075E-04, 7.167967807E-01
        15, 2.099999885E+00,-2.346499959E-08, 5.000000075E-04, 7.100786956E-01
        16, 3.000000046E+00,-2.346500026E-08, 5.000000112E-04, 7.138278429E-01
        17,-1.500000022E-01,-2.346499995E-08, 1.073981263E-03, 9.007435981E-01
        18, 3.000000109E-01,-2.346500038E-08, 1.073981278E-03, 1.404902305E+00
        19, 4.499999767E-01,-2.346500000E-08, 1.073981262E-03, 1.255051817E+00
        20, 7.499999865E-01,-2.346500000E-08, 1.073981262E-03, 9.776254899E-01
        21, 1.049999957E+00,-2.346499757E-08, 1.073981262E-03, 8.791359464E-01
        22, 1.499999992E+00,-2.346499961E-08, 1.073981262E-03, 8.537716709E-01
        23, 2.099999885E+00,-2.346499957E-08, 1.073981262E-03, 8.477536041E-01
        24, 3.000000046E+00,-2.346500025E-08, 1.073981270E-03, 8.514459469E-01
        25,-1.500000022E-01,-2.346499996E-08, 1.732890214E-03, 1.008785602E+00
        26, 3.000000109E-01,-2.346500038E-08, 1.732890238E-03, 1.514443108E+00
        27, 4.499999767E-01,-2.346500000E-08, 1.732890212E-03, 1.371185124E+00
        28, 7.499999865E-01,-2.346500000E-08, 1.732890212E-03, 1.086225023E+00
        29, 1.049999957E+00,-2.346499756E-08, 1.732890212E-03, 9.811129742E-01
        30, 1.499999992E+00,-2.346499963E-08, 1.732890212E-03, 9.553855585E-01
        31, 2.099999885E+00,-2.346499958E-08, 1.732890212E-03, 9.501546070E-01
        32, 3.000000046E+00,-2.346500026E-08, 1.732890225E-03, 9.538086674E-01
        33,-1.500000022E-01,-2.346499995E-08, 2.489292976E-03, 1.096449566E+00
        34, 3.000000109E-01,-2.346500035E-08, 2.489293010E-03, 1.598133375E+00
        35, 4.499999767E-01,-2.346499999E-08, 2.489292973E-03, 1.463578441E+00
        36, 7.499999865E-01,-2.346499999E-08, 2.489292973E-03, 1.174298377E+00
        37, 1.049999957E+00,-2.346499758E-08, 2.489292973E-03, 1.062382169E+00
        38, 1.499999992E+00,-2.346499962E-08, 2.489292973E-03, 1.035850972E+00
        39, 2.099999885E+00,-2.346499958E-08, 2.489292973E-03, 1.031517422E+00
        40, 3.000000046E+00,-2.346500025E-08, 2.489292992E-03, 1.035218409E+00
        41,-1.500000023E-01,-2.346499995E-08, 3.357614975E-03, 1.171386717E+00
        42, 3.000000109E-01,-2.346500036E-08, 3.357615021E-03, 1.663555927E+00
        43, 4.499999767E-01,-2.346500000E-08, 3.357614971E-03, 1.539098097E+00
        44, 7.499999865E-01,-2.346500000E-08, 3.357614971E-03, 1.249172978E+00
        45, 1.049999957E+00,-2.346499755E-08, 3.357614971E-03, 1.130539363E+00
        46, 1.499999992E+00,-2.346499961E-08, 3.357614971E-03, 1.102814688E+00
        47, 2.099999885E+00,-2.346499958E-08, 3.357614971E-03, 1.099510830E+00
        48, 3.000000046E+00,-2.346500026E-08, 3.357614996E-03, 1.103394131E+00
        49,-1.500000023E-01,-2.346499996E-08, 4.354416060E-03, 1.238198234E+00
