nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity
         1, 1.500000114E-01,-3.600000143E-01, 1.249999982E-01, 2.358424392E+00
         2, 3.000000067E-01,-3.600000143E-01, 1.249999982E-01, 2.371056305E+00
         3, 4.499999892E-01,-3.600000250E-01, 1.250000019E-01, 2.369668441E+00
         4, 7.499999652E-01,-3.600000036E-01, 1.249999945E-01, 2.356648133E+00
         5, 1.499999992E+00,-3.600000143E-01, 1.249999982E-01, 2.342414803E+00
         6, 2.249999948E+00,-3.600000143E-01, 1.249999982E-01, 2.340021745E+00
         7, 3.000000024E+00,-3.600000143E-01, 1.249999982E-01, 2.336211239E+00
         8, 1.500000114E-01,-3.327360609E-01, 1.249999982E-01, 2.358807360E+00
         9, 3.000000067E-01,-3.327360609E-01, 1.249999982E-01, 2.371305180E+00
        10, 4.499999892E-01,-3.327360708E-01, 1.250000019E-01, 2.369740761E+00
        11, 7.499999652E-01,-3.327360510E-01, 1.249999945E-01, 2.356610250E+00
        12, 1.499999992E+00,-3.327360609E-01, 1.249999982E-01, 2.342488335E+00
        13, 2.249999948E+00,-3.327360609E-01, 1.249999982E-01, 2.339494495E+00
        14, 3.000000024E+00,-3.327360609E-01, 1.249999982E-01, 2.333277952E+00
        15, 1.500000114E-01,-3.069492589E-01, 1.249999982E-01, 2.359925342E+00
        16, 3.000000067E-01,-3.069492589E-01, 1.249999982E-01, 2.372007542E+00
        17, 4.499999892E-01,-3.069492680E-01, 1.250000019E-01, 2.369946770E+00
        18, 7.499999652E-01,-3.069492497E-01, 1.249999945E-01, 2.356515402E+00
        19, 1.499999992E+00,-3.069492589E-01, 1.249999982E-01, 2.342581828E+00
        20, 2.249999948E+00,-3.069492589E-01, 1.249999982E-01, 2.336935141E+00
        21, 3.000000024E+00,-3.069492589E-01, 1.249999982E-01, 2.324048770E+00
        22, 1.500000114E-01,-2.825595767E-01, 1.249999982E-01, 2.361747027E+00
        23, 3.000000067E-01,-2.825595767E-01, 1.249999982E-01, 2.373115070E+00
