nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity
         1,-1.500000037E-01,-2.346499996E-08, 0.000000000E+00, 5.429872911E-01
         2, 3.000000109E-01,-2.346500038E-08, 0.000000000E+00, 1.039018357E+00
         3, 4.499999767E-01,-2.346500000E-08, 0.000000000E+00, 8.822450012E-01
         4, 7.499999865E-01,-2.346500000E-08, 0.000000000E+00, 6.194830501E-01
         5, 1.049999957E+00,-2.346499757E-08, 0.000000000E+00, 5.308665872E-01
         6, 1.499999992E+00,-2.346499963E-08, 0.000000000E+00, 5.055620982E-01
         7, 2.099999885E+00,-2.346499957E-08, 0.000000000E+00, 4.982536756E-01
         8, 3.000000046E+00,-2.346500025E-08, 0.000000000E+00, 5.019392834E-01
         9,-1.500000022E-01,-2.346499995E-08, 5.000000080E-04, 7.579145162E-01
        10, 3.000000109E-01,-2.346500038E-08, 5.000000149E-04, 1.258471712E+00
        11, 4.499999767E-01,-2.346500001E-08, 5.000000075E-04, 1.102626488E+00
        12, 7.499999865E-01,-2.346500001E-08, 5.000000075E-04, 8.343637652E-01
        13, 1.049999957E+00,-2.346499757E-08, 5.000000075E-04, 7.431666070E-01
        14, 1.499999992E+00,-2.346499963E-08, 5.000000075E-04, 7.182010371E-01
        15, 2.099999885E+00,-2.346499959E-08, 5.000000075E-04, 7.112498629E-01
        16, 3.000000046E+00,-2.346500026E-08, 5.000000112E-04, 7.148914497E-01
        17,-1.500000022E-01,-2.346499995E-08, 1.073981263E-03, 9.003312072E-01
        18, 3.000000109E-01,-2.346500038E-08, 1.073981278E-03, 1.406886333E+00
        19, 4.499999767E-01,-2.346500000E-08, 1.073981262E-03, 1.254796021E+00
        20, 7.499999865E-01,-2.346500000E-08, 1.073981262E-03, 9.767736642E-01
        21, 1.049999957E+00,-2.346499757E-08, 1.073981262E-03, 8.797884204E-01
        22, 1.499999992E+00,-2.346499961E-08, 1.073981262E-03, 8.551168543E-01
        23, 2.099999885E+00,-2.346499957E-08, 1.073981262E-03, 8.489198671E-01
