nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,turb-kinetic-energy
         1,-1.500000037E-01,-2.346499996E-08, 0.000000000E+00, 2.861821688E-02
         2, 3.000000109E-01,-2.346500038E-08, 0.000000000E+00, 2.779229644E-02
         3, 4.499999767E-01,-2.346500000E-08, 0.000000000E+00, 2.789128040E-02
         4, 7.499999865E-01,-2.346500000E-08, 0.000000000E+00, 2.853366825E-02
         5, 1.049999957E+00,-2.346499757E-08, 0.000000000E+00, 2.869833848E-02
         6, 1.499999992E+00,-2.346499963E-08, 0.000000000E+00, 2.863137512E-02
         7, 2.099999885E+00,-2.346499957E-08, 0.000000000E+00, 2.861170497E-02
         8, 3.000000046E+00,-2.346500025E-08, 0.000000000E+00, 2.862562804E-02
         9,-1.500000022E-01,-2.346499995E-08, 5.000000080E-04, 3.347088153E-02
        10, 3.000000109E-01,-2.346500038E-08, 5.000000149E-04, 3.118714489E-02
        11, 4.499999767E-01,-2.346500001E-08, 5.000000075E-04, 3.148353660E-02
        12, 7.499999865E-01,-2.346500001E-08, 5.000000075E-04, 3.324934978E-02
        13, 1.049999957E+00,-2.346499757E-08, 5.000000075E-04, 3.367435428E-02
        14, 1.499999992E+00,-2.346499963E-08, 5.000000075E-04, 3.349150707E-02
        15, 2.099999885E+00,-2.346499959E-08, 5.000000075E-04, 3.344165427E-02
        16, 3.000000046E+00,-2.346500026E-08, 5.000000112E-04, 3.348125894E-02
        17,-1.500000022E-01,-2.346499995E-08, 1.073981263E-03, 4.165385119E-02
        18, 3.000000109E-01,-2.346500038E-08, 1.073981278E-03, 3.701819387E-02
        19, 4.499999767E-01,-2.346500000E-08, 1.073981262E-03, 3.767216480E-02
        20, 7.499999865E-01,-2.346500000E-08, 1.073981262E-03, 4.132305511E-02
        21, 1.049999957E+00,-2.346499757E-08, 1.073981262E-03, 4.217545661E-02
        22, 1.499999992E+00,-2.346499961E-08, 1.073981262E-03, 4.178892136E-02
        23, 2.099999885E+00,-2.346499957E-08, 1.073981262E-03, 4.166792268E-02
        24, 3.000000046E+00,-2.346500025E-08, 1.073981270E-03, 4.174027375E-02
        25,-1.500000022E-01,-2.346499996E-08, 1.732890214E-03, 4.595574933E-02
        26, 3.000000109E-01,-2.346500038E-08, 1.732890238E-03, 3.999114969E-02
        27, 4.499999767E-01,-2.346500000E-08, 1.732890212E-03, 4.087708147E-02
        28, 7.499999865E-01,-2.346500000E-08, 1.732890212E-03, 4.575790407E-02
        29, 1.049999957E+00,-2.346499756E-08, 1.732890212E-03, 4.689287389E-02
        30, 1.499999992E+00,-2.346499963E-08, 1.732890212E-03, 4.636020913E-02
        31, 2.099999885E+00,-2.346499958E-08, 1.732890212E-03, 4.616513894E-02
        32, 3.000000046E+00,-2.346500026E-08, 1.732890225E-03, 4.624142991E-02
        33,-1.500000022E-01,-2.346499995E-08, 2.489292976E-03, 4.813101354E-02
        34, 3.000000109E-01,-2.346500035E-08, 2.489293010E-03, 4.108092444E-02
        35, 4.499999767E-01,-2.346499999E-08, 2.489292973E-03, 4.209173267E-02
        36, 7.499999865E-01,-2.346499999E-08, 2.489292973E-03, 4.813564672E-02
        37, 1.049999957E+00,-2.346499758E-08, 2.489292973E-03, 4.959076526E-02
        38, 1.499999992E+00,-2.346499962E-08, 2.489292973E-03, 4.892148861E-02
        39, 2.099999885E+00,-2.346499958E-08, 2.489292973E-03, 4.865053498E-02
        40, 3.000000046E+00,-2.346500025E-08, 2.489292992E-03, 4.872563027E-02
        41,-1.500000023E-01,-2.346499995E-08, 3.357614975E-03, 4.923793899E-02
        42, 3.000000109E-01,-2.346500036E-08, 3.357615021E-03, 4.133256839E-02
        43, 4.499999767E-01,-2.346500000E-08, 3.357614971E-03, 4.237329344E-02
        44, 7.499999865E-01,-2.346500000E-08, 3.357614971E-03, 4.953166196E-02
        45, 1.049999957E+00,-2.346499755E-08, 3.357614971E-03, 5.136190423E-02
        46, 1.499999992E+00,-2.346499961E-08, 3.357614971E-03, 5.056236710E-02
        47, 2.099999885E+00,-2.346499958E-08, 3.357614971E-03, 5.019902153E-02
        48, 3.000000046E+00,-2.346500026E-08, 3.357614996E-03, 5.026884090E-02
        49,-1.500000023E-01,-2.346499996E-08, 4.354416060E-03, 4.971315789E-02
        50, 3.000000109E-01,-2.346500038E-08, 4.354416120E-03, 4.123695017E-02
        51, 4.499999767E-01,-2.346500000E-08, 4.354416055E-03, 4.225833763E-02
        52, 7.499999865E-01,-2.346500000E-08, 4.354416055E-03, 5.041558381E-02
        53, 1.049999957E+00,-2.346499756E-08, 4.354416055E-03, 5.264800417E-02
        54, 1.499999992E+00,-2.346499963E-08, 4.354416055E-03, 5.172422865E-02
        55, 2.099999885E+00,-2.346499958E-08, 4.354416055E-03, 5.124909759E-02
        56, 3.000000046E+00,-2.346500026E-08, 4.354416087E-03, 5.130788913E-02
        57,-1.500000023E-01,-2.346499995E-08, 5.498706317E-03, 4.976785246E-02
        58, 3.000000109E-01,-2.346500038E-08, 5.498706393E-03, 4.104956418E-02
        59, 4.499999767E-01,-2.346500000E-08, 5.498706311E-03, 4.207852405E-02
        60, 7.499999865E-01,-2.346500000E-08, 5.498706311E-03, 5.104639994E-02
        61, 1.049999957E+00,-2.346499757E-08, 5.498706311E-03, 5.366646749E-02
        62, 1.499999992E+00,-2.346499963E-08, 5.498706311E-03, 5.262379989E-02
        63, 2.099999885E+00,-2.346499958E-08, 5.498706311E-03, 5.201587879E-02
        64, 3.000000046E+00,-2.346500026E-08, 5.498706352E-03, 5.205538982E-02
        65,-1.500000024E-01,-2.346499995E-08, 6.812308611E-03, 4.951598759E-02
        66, 3.000000109E-01,-2.346500038E-08, 6.812308705E-03, 4.089958848E-02
        67, 4.499999767E-01,-2.346500000E-08, 6.812308604E-03, 4.206092758E-02
        68, 7.499999865E-01,-2.346500000E-08, 6.812308604E-03, 5.159767482E-02
        69, 1.049999957E+00,-2.346499757E-08, 6.812308604E-03, 5.453761166E-02
        70, 1.499999992E+00,-2.346499963E-08, 6.812308604E-03, 5.337948743E-02
        71, 2.099999885E+00,-2.346499958E-08, 6.812308604E-03, 5.261617166E-02
        72, 3.000000046E+00,-2.346500026E-08, 6.812308654E-03, 5.262467063E-02
        73,-1.500000024E-01,-2.346499995E-08, 8.320274774E-03, 4.902360581E-02
        74, 3.000000109E-01,-2.346500038E-08, 8.320274889E-03, 4.083924427E-02
        75, 4.499999767E-01,-2.346500000E-08, 8.320274765E-03, 4.236518778E-02
        76, 7.499999865E-01,-2.346500000E-08, 8.320274765E-03, 5.220463445E-02
        77, 1.049999957E+00,-2.346499756E-08, 8.320274765E-03, 5.533393940E-02
        78, 1.499999992E+00,-2.346499963E-08, 8.320274765E-03, 5.405995502E-02
        79, 2.099999885E+00,-2.346499957E-08, 8.320274765E-03, 5.311745862E-02
        80, 3.000000046E+00,-2.346500026E-08, 8.320274827E-03, 5.307878727E-02
        81,-1.500000025E-01,-2.346499996E-08, 1.005136337E-02, 4.833271112E-02
        82, 3.000000109E-01,-2.346500038E-08, 1.005136351E-02, 4.088102580E-02
        83, 4.499999767E-01,-2.346500000E-08, 1.005136336E-02, 4.310725277E-02
        84, 7.499999865E-01,-2.346500000E-08, 1.005136336E-02, 5.298503108E-02
        85, 1.049999957E+00,-2.346499757E-08, 1.005136336E-02, 5.610432968E-02
        86, 1.499999992E+00,-2.346499963E-08, 1.005136336E-02, 5.470644100E-02
        87, 2.099999885E+00,-2.346499958E-08, 1.005136336E-02, 5.356052673E-02
        88, 3.000000046E+00,-2.346500026E-08, 1.005136343E-02, 5.345327979E-02
        89,-1.500000025E-01,-2.346499996E-08, 1.203858814E-02, 4.747410328E-02
        90, 3.000000109E-01,-2.346500038E-08, 1.203858831E-02, 4.104365243E-02
        91, 4.499999767E-01,-2.346500000E-08, 1.203858813E-02, 4.438397571E-02
        92, 7.499999865E-01,-2.346500000E-08, 1.203858813E-02, 5.404898180E-02
        93, 1.049999957E+00,-2.346499757E-08, 1.203858813E-02, 5.688871366E-02
        94, 1.499999992E+00,-2.346499963E-08, 1.203858813E-02, 5.534381252E-02
        95, 2.099999885E+00,-2.346499958E-08, 1.203858813E-02, 5.397128725E-02
        96, 3.000000046E+00,-2.346500026E-08, 1.203858822E-02, 5.376826951E-02
        97,-1.500000026E-01,-2.346499996E-08, 1.431984764E-02, 4.647395286E-02
        98, 3.000000109E-01,-2.346500038E-08, 1.431984784E-02, 4.141591138E-02
        99, 4.499999767E-01,-2.346500000E-08, 1.431984763E-02, 4.629653591E-02
       100, 7.499999865E-01,-2.346500000E-08, 1.431984763E-02, 5.550310226E-02
       101, 1.049999957E+00,-2.346499757E-08, 1.431984763E-02, 5.772881666E-02
       102, 1.499999992E+00,-2.346499963E-08, 1.431984763E-02, 5.598686153E-02
       103, 2.099999885E+00,-2.346499957E-08, 1.431984763E-02, 5.436708344E-02
       104, 3.000000046E+00,-2.346500026E-08, 1.431984774E-02, 5.403521492E-02
       105,-1.500000027E-01,-2.346499996E-08, 1.693864799E-02, 4.535649445E-02
       106, 3.000000109E-01,-2.346500038E-08, 1.693864822E-02, 4.221895257E-02
       107, 4.499999767E-01,-2.346500000E-08, 1.693864797E-02, 4.896332298E-02
       108, 7.499999865E-01,-2.346500000E-08, 1.693864797E-02, 5.745077335E-02
       109, 1.049999957E+00,-2.346499757E-08, 1.693864797E-02, 5.867696246E-02
       110, 1.499999992E+00,-2.346499964E-08, 1.693864797E-02, 5.664462810E-02
       111, 2.099999885E+00,-2.346499958E-08, 1.693864797E-02, 5.476003549E-02
       112, 3.000000046E+00,-2.346500026E-08, 1.693864809E-02, 5.426084190E-02
