l-1,theta_l-1,theta_l,k,c,w_l-1
0,0,15,2.3,7.76,0.023
1,15,30,2.3,7.88,0.0216
2,30,45,2.3,7.53,0.0214
3,45,60,2.3,7.46,0.0213
4,60,75,2.3,7.53,0.0232
5,75,90,2.3,7.79,0.0258
6,90,105,2.3,8.53,0.0335
7,105,120,2.3,9.52,0.0413
8,120,135,2.3,9.71,0.0413
9,135,150,2.3,9.74,0.0361
10,150,165,2.3,9.62,0.0361
11,165,180,2.3,9.78,0.0363
12,180,195,2.3,10.59,0.0464
13,195,210,2.3,10.59,0.0568
14,210,225,2.3,10.59,0.0619
15,225,240,2.3,10.59,0.0619
16,240,255,2.3,10.59,0.0612
17,255,270,2.3,10.59,0.0568
18,270,285,2.3,10.59,0.0568
19,285,300,2.3,10.59,0.0568
20,300,315,2.3,9.72,0.0567
21,315,330,2.3,9.51,0.0516
22,330,345,2.3,8.51,0.0413
23,345,360,2.3,8.04,0.0309
