l-1,theta_l-1,theta_l,k,c,w_l-1
0,-5.0,5.0,2.09,8.89,0.016004
1,5.0,15.0,2.08256,9.256429,0.01533
2,15.0,25.0,2.095893,9.383096,0.014434
3,25.0,35.0,2.13,9.27,0.013481
4,35.0,45.0,2.184881,8.917142,0.012635
5,45.0,55.0,2.253095,8.406505,0.01206
6,55.0,65.0,2.29,8.23,0.01192
7,65.0,75.0,2.288156,8.46961,0.012444
8,75.0,85.0,2.262206,9.078982,0.01412
9,85.0,95.0,2.3,9.78,0.017499
10,95.0,105.0,2.416181,10.52631,0.022648
11,105.0,115.0,2.587003,11.260711,0.027695
12,115.0,125.0,2.67,11.64,0.030282
13,125.0,135.0,2.641426,11.606975,0.02892
14,135.0,145.0,2.523552,11.242306,0.025591
15,145.0,155.0,2.45,11.03,0.023143
16,155.0,165.0,2.443041,11.050726,0.023718
17,165.0,175.0,2.489463,11.27212,0.026621
18,175.0,185.0,2.51,11.5,0.030448
19,185.0,195.0,2.49144,11.702001,0.034014
20,195.0,205.0,2.440779,11.866083,0.037002
21,205.0,215.0,2.4,11.92,0.039314
22,215.0,225.0,2.376098,11.851711,0.040849
23,225.0,235.0,2.36586,11.676936,0.041512
24,235.0,245.0,2.35,11.49,0.041206
25,245.0,255.0,2.325303,11.306624,0.039988
26,255.0,265.0,2.294059,11.14119,0.038529
27,265.0,275.0,2.27,11.08,0.037653
28,275.0,285.0,2.255416,11.137437,0.037892
29,285.0,295.0,2.248677,11.283702,0.038602
30,295.0,305.0,2.24,11.34,0.038849
31,305.0,315.0,2.227754,11.276533,0.037871
32,315.0,325.0,2.211655,11.089933,0.035608
33,325.0,335.0,2.19,10.76,0.032175
34,335.0,345.0,2.162506,10.283367,0.027687
35,345.0,355.0,2.129173,9.660033,0.022258
