ws,wd,freq_val
4.5,0.0,0.000281
4.5,2.0,0.000274
4.5,4.0,0.000268
4.5,6.0,0.000263
4.5,8.0,0.000257
4.5,10.0,0.000252
4.5,12.0,0.000247
4.5,14.0,0.000243
4.5,16.0,0.000239
4.5,18.0,0.000235
4.5,20.0,0.000232
4.5,22.0,0.000229
4.5,24.0,0.000226
4.5,26.0,0.000224
4.5,28.0,0.000222
4.5,30.0,0.00022
4.5,32.0,0.000219
4.5,34.0,0.000218
4.5,36.0,0.000218
4.5,38.0,0.000218
4.5,40.0,0.000219
4.5,42.0,0.000221
4.5,44.0,0.000223
4.5,46.0,0.000226
4.5,48.0,0.000228
4.5,50.0,0.000231
4.5,52.0,0.000232
4.5,54.0,0.000234
4.5,56.0,0.000235
4.5,58.0,0.000236
4.5,60.0,0.000236
4.5,62.0,0.000236
4.5,64.0,0.000236
4.5,66.0,0.000235
4.5,68.0,0.000235
4.5,70.0,0.000235
4.5,72.0,0.000234
4.5,74.0,0.000234
4.5,76.0,0.000234
4.5,78.0,0.000234
4.5,80.0,0.000236
4.5,82.0,0.000238
4.5,84.0,0.000241
4.5,86.0,0.000244
4.5,88.0,0.000248
4.5,90.0,0.000253
4.5,92.0,0.000258
4.5,94.0,0.000263
4.5,96.0,0.000267
4.5,98.0,0.000271
4.5,100.0,0.000274
4.5,102.0,0.000275
4.5,104.0,0.000275
4.5,106.0,0.000274
4.5,108.0,0.000272
4.5,110.0,0.00027
4.5,112.0,0.000269
4.5,114.0,0.000267
4.5,116.0,0.000266
4.5,118.0,0.000264
4.5,120.0,0.000262
4.5,122.0,0.000261
4.5,124.0,0.000259
4.5,126.0,0.000258
4.5,128.0,0.000257
4.5,130.0,0.000256
4.5,132.0,0.000256
4.5,134.0,0.000257
4.5,136.0,0.000258
4.5,138.0,0.000258
4.5,140.0,0.000258
4.5,142.0,0.000256
4.5,144.0,0.000255
4.5,146.0,0.000253
4.5,148.0,0.000251
4.5,150.0,0.00025
4.5,152.0,0.00025
4.5,154.0,0.000251
4.5,156.0,0.000252
4.5,158.0,0.000254
4.5,160.0,0.000256
4.5,162.0,0.000259
4.5,164.0,0.000261
