l-1,theta_l-1,theta_l,k,c,w_l-1
0,-1.0,1.0,2.09,8.89,0.0006
1,1.0,3.0,2.08685,8.982467,0.0006
2,3.0,5.0,2.084531,9.065343,0.0006
3,5.0,7.0,2.083043,9.138629,0.0006
4,7.0,9.0,2.082386,9.202324,0.0006
5,9.0,11.0,2.08256,9.256429,0.0006
6,11.0,13.0,2.083564,9.300944,0.0006
7,13.0,15.0,2.0854,9.335867,0.0006
8,15.0,17.0,2.088067,9.361201,0.0006
9,17.0,19.0,2.091564,9.376944,0.0006
10,19.0,21.0,2.095893,9.383096,0.0006
11,21.0,23.0,2.101053,9.379658,0.0006
12,23.0,25.0,2.107043,9.366629,0.0006
13,25.0,27.0,2.113864,9.34401,0.0006
14,27.0,29.0,2.121517,9.3118,0.0006
15,29.0,31.0,2.13,9.27,0.0006
16,31.0,33.0,2.139314,9.218609,0.0006
17,33.0,35.0,2.149459,9.157628,0.0006
18,35.0,37.0,2.160436,9.087056,0.0006
19,37.0,39.0,2.172243,9.006894,0.0006
20,39.0,41.0,2.184881,8.917142,0.0006
21,41.0,43.0,2.19835,8.817798,0.0006
22,43.0,45.0,2.21265,8.708865,0.0006
23,45.0,47.0,2.227483,8.59362,0.0006
24,47.0,49.0,2.241064,8.49174,0.0006
25,49.0,51.0,2.253095,8.406505,0.0006
26,51.0,53.0,2.263576,8.337915,0.0006
27,53.0,55.0,2.272507,8.285969,0.0006
28,55.0,57.0,2.279888,8.250668,0.0006
29,57.0,59.0,2.285719,8.232012,0.0006
30,59.0,61.0,2.29,8.23,0.0006
31,61.0,63.0,2.292731,8.244633,0.0006
32,63.0,65.0,2.293912,8.27591,0.0006
33,65.0,67.0,2.293544,8.323832,0.0006
34,67.0,69.0,2.291625,8.388399,0.0006
35,69.0,71.0,2.288156,8.46961,0.0006
36,71.0,73.0,2.283138,8.567466,0.0006
37,73.0,75.0,2.276569,8.681966,0.0006
38,75.0,77.0,2.269036,8.811257,0.0006
39,77.0,79.0,2.264053,8.944214,0.0006
40,79.0,81.0,2.262206,9.078982,0.0006
41,81.0,83.0,2.263494,9.215563,0.0006
42,83.0,85.0,2.267917,9.353954,0.0006
43,85.0,87.0,2.275476,9.494158,0.0006
44,87.0,89.0,2.28617,9.636173,0.0006
45,89.0,91.0,2.3,9.78,0.0006
46,91.0,93.0,2.316965,9.925639,0.0006
47,93.0,95.0,2.337066,10.073089,0.0006
48,95.0,97.0,2.360302,10.222351,0.0006
49,97.0,99.0,2.386674,10.373424,0.0006
50,99.0,101.0,2.416181,10.52631,0.0006
51,101.0,103.0,2.448823,10.681007,0.0006
52,103.0,105.0,2.484601,10.837516,0.0006
53,105.0,107.0,2.522565,10.993548,0.0006
54,107.0,109.0,2.557016,11.135376,0.0006
55,109.0,111.0,2.587003,11.260711,0.0006
56,111.0,113.0,2.612528,11.369554,0.0006
57,113.0,115.0,2.63359,11.461904,0.0006
58,115.0,117.0,2.65019,11.537762,0.0006
59,117.0,119.0,2.662326,11.597127,0.0006
60,119.0,121.0,2.67,11.64,0.0006
61,121.0,123.0,2.673211,11.66638,0.0006
62,123.0,125.0,2.671959,11.676268,0.0006
63,125.0,127.0,2.666244,11.669663,0.0006
64,127.0,129.0,2.656066,11.646565,0.0006
65,129.0,131.0,2.641426,11.606975,0.0006
66,131.0,133.0,2.622323,11.550893,0.0006
67,133.0,135.0,2.598757,11.478318,0.0006
68,135.0,137.0,2.571619,11.392477,0.0006
69,137.0,139.0,2.546253,11.312731,0.0006
70,139.0,141.0,2.523552,11.242306,0.0006
71,141.0,143.0,2.503514,11.181202,0.0006
72,143.0,145.0,2.48614,11.12942,0.0006
73,145.0,147.0,2.47143,11.086959,0.0006
74,147.0,149.0,2.459383,11.053819,0.0006
75,149.0,151.0,2.45,11.03,0.0006
76,151.0,153.0,2.443281,11.015503,0.0006
77,153.0,155.0,2.439225,11.010327,0.0006
78,155.0,157.0,2.437833,11.014472,0.0006
79,157.0,159.0,2.439105,11.027938,0.0006
80,159.0,161.0,2.443041,11.050726,0.0006
