,ws,wd,baseline_obj,baseline_turbine,baseline_yaw,baseline_power,baseline_power_0,baseline_power_1,obj_0,turbine_0,yaw_0,power_0,obj_1,turbine_1,yaw_1,power_1,power
0,9.0,274.3301270189222,274.3301270189222,274.3301270189222,0.0,1.465,1.0077,0.4573,254.3301270189222,274.3301270189222,0.0,1.0077,274.3301270189222,274.3301270189222,0.0,0.4573,1.465
1,9.0,274.34531776443276,274.3301270189222,274.3301270189222,-0.015190745510551551,1.4663,1.0077,0.4586,254.3301270189222,272.8301270189222,-1.5151907455105516,1.007,274.3301270189222,274.3301270189222,-0.015190745510551551,0.4764,1.4834
2,9.0,274.3603463621606,274.3301270189222,274.3301270189222,-0.030219343238400143,1.4675,1.0077,0.4598,254.3301270189222,271.3301270189222,-3.0302193432384,1.0051,274.3301270189222,274.3301270189222,-0.030219343238400143,0.4965,1.5016
3,9.0,274.37521225130575,274.3301270189222,274.3301270189222,-0.04508523238354201,1.4687,1.0077,0.4611,254.3301270189222,269.8301270189222,-4.545085232383542,1.0019,274.3301270189222,274.3301270189222,-0.04508523238354201,0.5173,1.5193
4,9.0,274.3899148771399,274.3301270189222,274.3301270189222,-0.05978785821770316,1.4699,1.0077,0.4623,254.3301270189222,268.3301270189222,-6.059787858217703,0.9975,274.3301270189222,274.3301270189222,-0.05978785821770316,0.5385,1.536
5,9.0,274.4044536910269,274.3301270189222,274.3301270189222,-0.07432667210468935,1.4711,1.0077,0.4635,254.3301270189222,266.8301270189222,-7.574326672104689,0.9917,274.3301270189222,274.3301270189222,-0.07432667210468935,0.5597,1.5514
6,9.0,274.41882815044346,274.3301270189222,274.3301270189222,-0.08870113152124759,1.4723,1.0077,0.4647,254.3301270189222,265.3301270189222,-9.088701131521248,0.9847,274.3301270189222,274.3301270189222,-0.08870113152124759,0.5826,1.5674
7,9.0,274.4330377189991,274.3301270189222,274.3301270189222,-0.1029107000769045,1.4735,1.0077,0.4659,254.3301270189222,263.8301270189222,-10.602910700076905,0.9764,274.3301270189222,274.3301270189222,-0.1029107000769045,0.6067,1.5831
8,9.0,274.4470818664565,274.3301270189222,274.3301270189222,-0.11695484753425944,1.4747,1.0077,0.467,254.3301270189222,262.3301270189222,-12.11695484753426,0.9669,274.3301270189222,274.3301270189222,-0.11695484753425944,0.6299,1.5968
9,9.0,274.4609600687509,274.3301270189222,274.3301270189222,-0.13083304982870914,1.4758,1.0077,0.4682,254.3301270189222,260.8301270189222,-13.63083304982871,0.956,274.3301270189222,274.3301270189222,-0.13083304982870914,0.6521,1.6082
10,9.0,274.4746718080101,274.3301270189222,274.3301270189222,-0.14454478908788815,1.477,1.0077,0.4693,254.3301270189222,259.3301270189222,-15.144544789087888,0.9439,274.3301270189222,274.3301270189222,-0.14454478908788815,0.6733,1.6172
11,9.0,274.48821657257344,274.3301270189222,274.3301270189222,-0.158089553651223,1.4781,1.0077,0.4705,254.3301270189222,257.8301270189222,-16.658089553651223,0.9305,274.3301270189222,274.3301270189222,-0.158089553651223,0.6932,1.6238
12,9.0,274.50159385701096,274.3301270189222,274.3301270189222,-0.1714668380887474,1.4792,1.0077,0.4716,254.3301270189222,256.3301270189222,-18.171466838088747,0.9159,274.3301270189222,274.3301270189222,-0.1714668380887474,0.7134,1.6293
13,9.0,274.5148031621424,274.3301270189222,274.3301270189222,-0.18467614322020154,1.4803,1.0077,0.4727,254.3301270189222,254.8301270189222,-19.6846761432202,0.8999,274.3301270189222,274.3301270189222,-0.18467614322020154,0.7332,1.6331
14,9.0,274.5278439950557,274.3301270189222,274.3301270189222,-0.19771697613350625,1.4814,1.0077,0.4738,254.3301270189222,254.3301270189222,-20.197716976133506,0.8942,274.3301270189222,274.3301270189222,-0.19771697613350625,0.7402,1.6344
15,9.0,274.5407158691254,274.3301270189222,274.3301270189222,-0.2105888502031803,1.4825,1.0077,0.4749,254.3301270189222,254.3301270189222,-20.21058885020318,0.8941,274.3301270189222,274.3301270189222,-0.2105888502031803,0.7412,1.6353
16,9.0,274.55341830403086,274.3301270189222,274.3301270189222,-0.22329128510864393,1.4836,1.0076,0.4759,254.3301270189222,254.3301270189222,-20.223291285108644,0.8939,274.3301270189222,274.3301270189222,-0.22329128510864393,0.7423,1.6362
17,9.0,274.5659508257742,274.3301270189222,274.3301270189222,-0.23582380685201088,1.4846,1.0076,0.477,254.3301270189222,254.3301270189222,-20.23582380685201,0.8938,274.3301270189222,274.3301270189222,-0.23582380685201088,0.7433,1.6371
18,9.0,274.5783129666978,274.3301270189222,274.3301270189222,-0.2481859477755961,1.4857,1.0076,0.478,254.3301270189222,254.3301270189222,-20.248185947775596,0.8936,274.3301270189222,274.3301270189222,-0.2481859477755961,0.7443,1.6379
19,9.0,274.59050426550203,274.3301270189222,274.3301270189222,-0.26037724657982153,1.4867,1.0076,0.479,254.3301270189222,254.3301270189222,-20.26037724657982,0.8935,274.3301270189222,274.3301270189222,-0.26037724657982153,0.7453,1.6388
20,9.0,274.6025242672622,274.3301270189222,274.3301270189222,-0.2723972483399848,1.4877,1.0076,0.48,254.3301270189222,254.3301270189222,-20.272397248339985,0.8934,274.3301270189222,274.3301270189222,-0.2723972483399848,0.7463,1.6396
21,9.0,274.61437252344575,274.3301270189222,274.3301270189222,-0.2842455045235397,1.4887,1.0076,0.481,254.3301270189222,254.3301270189222,-20.28424550452354,0.8932,274.3301270189222,274.3301270189222,-0.2842455045235397,0.7472,1.6404
22,9.0,274.6260485919289,274.3301270189222,274.3301270189222,-0.2959215730066944,1.4897,1.0076,0.482,254.3301270189222,254.3301270189222,-20.295921573006694,0.8931,274.3301270189222,274.3301270189222,-0.2959215730066944,0.7481,1.6412
23,9.0,274.63755203701305,274.3301270189222,274.3301270189222,-0.30742501809083933,1.4906,1.0076,0.483,254.3301270189222,254.3301270189222,-20.30742501809084,0.893,274.3301270189222,274.3301270189222,-0.30742501809083933,0.7491,1.642
24,9.0,274.64888242944124,274.3301270189222,274.3301270189222,-0.31875541051903156,1.4916,1.0076,0.484,254.3301270189222,254.3301270189222,-20.31875541051903,0.8928,274.3301270189222,274.3301270189222,-0.31875541051903156,0.75,1.6428
25,9.0,274.660039346414,274.3301270189222,274.3301270189222,-0.32991232749179744,1.4925,1.0076,0.4849,254.3301270189222,254.3301270189222,-20.329912327491797,0.8927,274.3301270189222,274.3301270189222,-0.32991232749179744,0.7509,1.6436
26,9.0,274.67102237160515,274.3301270189222,274.3301270189222,-0.340895352682935,1.4935,1.0076,0.4858,254.3301270189222,254.3301270189222,-20.340895352682935,0.8926,274.3301270189222,274.3301270189222,-0.340895352682935,0.7517,1.6443
27,9.0,274.6818310951775,274.3301270189222,274.3301270189222,-0.3517040762552597,1.4944,1.0076,0.4867,254.3301270189222,254.3301270189222,-20.35170407625526,0.8925,274.3301270189222,274.3301270189222,-0.3517040762552597,0.7526,1.6451
28,9.0,274.69246511379777,274.3301270189222,274.3301270189222,-0.3623380948755539,1.4953,1.0076,0.4876,254.3301270189222,254.3301270189222,-20.362338094875554,0.8923,274.3301270189222,274.3301270189222,-0.3623380948755539,0.7535,1.6458
29,9.0,274.70292403065224,274.3301270189222,274.3301270189222,-0.37279701173002877,1.4962,1.0076,0.4885,254.3301270189222,254.3301270189222,-20.37279701173003,0.8922,274.3301270189222,274.3301270189222,-0.37279701173002877,0.7543,1.6465
30,9.0,274.7132074554609,274.3301270189222,274.3301270189222,-0.38308043653870527,1.497,1.0076,0.4894,254.3301270189222,254.3301270189222,-20.383080436538705,0.8921,274.3301270189222,274.3301270189222,-0.38308043653870527,0.7551,1.6472
31,9.0,274.72331500449246,274.3301270189222,274.3301270189222,-0.3931879855702505,1.4979,1.0076,0.4903,254.3301270189222,254.3301270189222,-20.39318798557025,0.892,274.3301270189222,274.3301270189222,-0.3931879855702505,0.7559,1.6479
32,9.0,274.73324630057846,274.3301270189222,274.3301270189222,-0.4031192816562452,1.4987,1.0076,0.4911,254.3301270189222,254.3301270189222,-20.403119281656245,0.8919,274.3301270189222,274.3301270189222,-0.4031192816562452,0.7567,1.6486
33,9.0,274.74300097312755,274.3301270189222,274.3301270189222,-0.4128739542053381,1.4996,1.0076,0.4919,254.3301270189222,254.3301270189222,-20.412873954205338,0.8918,274.3301270189222,274.3301270189222,-0.4128739542053381,0.7575,1.6492
34,9.0,274.75257865813893,274.3301270189222,274.3301270189222,-0.42245163921671747,1.5004,1.0076,0.4928,254.3301270189222,254.3301270189222,-20.422451639216717,0.8917,274.3301270189222,274.3301270189222,-0.42245163921671747,0.7582,1.6499
35,9.0,274.76197899821636,274.3301270189222,274.3301270189222,-0.43185197929415153,1.5012,1.0076,0.4935,254.3301270189222,254.3301270189222,-20.43185197929415,0.8916,274.3301270189222,274.3301270189222,-0.43185197929415153,0.7589,1.6505
36,9.0,274.7712016425814,274.3301270189222,274.3301270189222,-0.44107462365917627,1.5019,1.0076,0.4943,254.3301270189222,254.3301270189222,-20.441074623659176,0.8914,274.3301270189222,274.3301270189222,-0.44107462365917627,0.7597,1.6511
37,9.0,274.78024624708615,274.3301270189222,274.3301270189222,-0.4501192281639419,1.5027,1.0076,0.4951,254.3301270189222,254.3301270189222,-20.450119228163942,0.8913,274.3301270189222,274.3301270189222,-0.4501192281639419,0.7604,1.6517
38,9.0,274.78911247422656,274.3301270189222,274.3301270189222,-0.45898545530434376,1.5035,1.0076,0.4959,254.3301270189222,254.3301270189222,-20.458985455304344,0.8912,274.3301270189222,274.3301270189222,-0.45898545530434376,0.7611,1.6523
39,9.0,274.7977999931548,274.3301270189222,274.3301270189222,-0.4676729742325847,1.5042,1.0076,0.4966,254.3301270189222,254.3301270189222,-20.467672974232585,0.8911,274.3301270189222,274.3301270189222,-0.4676729742325847,0.7618,1.6529
40,9.0,274.8063084796916,274.3301270189222,274.3301270189222,-0.4761814607693964,1.5049,1.0076,0.4973,254.3301270189222,254.3301270189222,-20.476181460769396,0.891,274.3301270189222,274.3301270189222,-0.4761814607693964,0.7624,1.6535
41,9.0,274.81463761633836,274.3301270189222,274.3301270189222,-0.484510597416147,1.5056,1.0076,0.498,254.3301270189222,254.3301270189222,-20.484510597416147,0.891,274.3301270189222,274.3301270189222,-0.484510597416147,0.7631,1.654
42,9.0,274.822787092289,274.3301270189222,274.3301270189222,-0.4926600733667783,1.5063,1.0076,0.4987,254.3301270189222,254.3301270189222,-20.49266007336678,0.8909,274.3301270189222,274.3301270189222,-0.4926600733667783,0.7637,1.6546
43,9.0,274.8307566034416,274.3301270189222,274.3301270189222,-0.5006295845194018,1.507,1.0076,0.4994,254.3301270189222,254.3301270189222,-20.5006295845194,0.8908,274.3301270189222,274.3301270189222,-0.5006295845194018,0.7643,1.6551
44,9.0,274.8385458524099,274.3301270189222,274.3301270189222,-0.5084188334876671,1.5077,1.0076,0.5001,254.3301270189222,254.3301270189222,-20.508418833487667,0.8907,274.3301270189222,274.3301270189222,-0.5084188334876671,0.7649,1.6556
45,9.0,274.8461545485338,274.3301270189222,274.3301270189222,-0.5160275296115628,1.5083,1.0076,0.5007,254.3301270189222,254.3301270189222,-20.516027529611563,0.8906,274.3301270189222,274.3301270189222,-0.5160275296115628,0.7655,1.6561
46,9.0,274.85358240789094,274.3301270189222,274.3301270189222,-0.5234553889687277,1.5089,1.0076,0.5014,254.3301270189222,254.3301270189222,-20.523455388968728,0.8905,274.3301270189222,274.3301270189222,-0.5234553889687277,0.7661,1.6566
47,9.0,274.860829153307,274.3301270189222,274.3301270189222,-0.5307021343847964,1.5096,1.0076,0.502,254.3301270189222,254.3301270189222,-20.530702134384796,0.8904,274.3301270189222,274.3301270189222,-0.5307021343847964,0.7666,1.6571
48,9.0,274.8678945143658,274.3301270189222,274.3301270189222,-0.5377674954435747,1.5102,1.0076,0.5026,254.3301270189222,254.3301270189222,-20.537767495443575,0.8903,274.3301270189222,274.3301270189222,-0.5377674954435747,0.7672,1.6575
49,9.0,274.8747782274198,274.3301270189222,274.3301270189222,-0.5446512084976121,1.5107,1.0076,0.5032,254.3301270189222,254.3301270189222,-20.544651208497612,0.8903,274.3301270189222,274.3301270189222,-0.5446512084976121,0.7677,1.658
50,9.0,274.8814800355997,274.3301270189222,274.3301270189222,-0.5513530166774672,1.5113,1.0076,0.5037,254.3301270189222,254.3301270189222,-20.551353016677467,0.8902,274.3301270189222,274.3301270189222,-0.5513530166774672,0.7682,1.6584
51,9.0,274.8879996888239,274.3301270189222,274.3301270189222,-0.5578726699017125,1.5119,1.0076,0.5043,254.3301270189222,254.3301270189222,-20.557872669901712,0.8901,274.3301270189222,274.3301270189222,-0.5578726699017125,0.7687,1.6588
52,9.0,274.8943369438084,274.3301270189222,274.3301270189222,-0.5642099248861996,1.5124,1.0076,0.5048,254.3301270189222,254.3301270189222,-20.5642099248862,0.89,274.3301270189222,274.3301270189222,-0.5642099248861996,0.7692,1.6593
53,9.0,274.90049156407514,274.3301270189222,274.3301270189222,-0.5703645451529269,1.5129,1.0076,0.5054,254.3301270189222,254.3301270189222,-20.570364545152927,0.89,274.3301270189222,274.3301270189222,-0.5703645451529269,0.7697,1.6597
54,9.0,274.90646331996123,274.3301270189222,274.3301270189222,-0.5763363010390208,1.5134,1.0076,0.5059,254.3301270189222,254.3301270189222,-20.57633630103902,0.8899,274.3301270189222,274.3301270189222,-0.5763363010390208,0.7702,1.6601
55,9.0,274.91225198862753,274.3301270189222,274.3301270189222,-0.582124969705319,1.5139,1.0076,0.5064,254.3301270189222,254.3301270189222,-20.58212496970532,0.8898,274.3301270189222,274.3301270189222,-0.582124969705319,0.7706,1.6604
56,9.0,274.91785735406694,274.3301270189222,274.3301270189222,-0.5877303351447267,1.5144,1.0076,0.5069,254.3301270189222,254.3301270189222,-20.587730335144727,0.8898,274.3301270189222,274.3301270189222,-0.5877303351447267,0.771,1.6608
57,9.0,274.9232792071123,274.3301270189222,274.3301270189222,-0.5931521881900608,1.5149,1.0076,0.5073,254.3301270189222,254.3301270189222,-20.59315218819006,0.8897,274.3301270189222,274.3301270189222,-0.5931521881900608,0.7714,1.6611
58,9.0,274.9285173454443,274.3301270189222,274.3301270189222,-0.5983903265220647,1.5153,1.0076,0.5078,254.3301270189222,254.3301270189222,-20.598390326522065,0.8896,274.3301270189222,274.3301270189222,-0.5983903265220647,0.7718,1.6615
59,9.0,274.9335715735991,274.3301270189222,274.3301270189222,-0.603444554676912,1.5158,1.0076,0.5082,254.3301270189222,254.3301270189222,-20.603444554676912,0.8896,274.3301270189222,274.3301270189222,-0.603444554676912,0.7722,1.6618
60,9.0,274.9384417029757,274.3301270189222,274.3301270189222,-0.6083146840534823,1.5162,1.0076,0.5086,254.3301270189222,254.3301270189222,-20.608314684053482,0.8895,274.3301270189222,274.3301270189222,-0.6083146840534823,0.7726,1.6621
61,9.0,274.94312755184257,274.3301270189222,274.3301270189222,-0.6130005329203527,1.5166,1.0076,0.509,254.3301270189222,254.3301270189222,-20.613000532920353,0.8895,274.3301270189222,274.3301270189222,-0.6130005329203527,0.7729,1.6624
62,9.0,274.94762894534483,274.3301270189222,274.3301270189222,-0.6175019264226194,1.517,1.0076,0.5094,254.3301270189222,254.3301270189222,-20.61750192642262,0.8894,274.3301270189222,274.3301270189222,-0.6175019264226194,0.7733,1.6627
63,9.0,274.95194571551076,274.3301270189222,274.3301270189222,-0.6218186965885479,1.5173,1.0076,0.5098,254.3301270189222,254.3301270189222,-20.621818696588548,0.8894,274.3301270189222,274.3301270189222,-0.6218186965885479,0.7736,1.663
64,9.0,274.9560777012577,274.3301270189222,274.3301270189222,-0.6259506823354855,1.5177,1.0076,0.5101,254.3301270189222,254.3301270189222,-20.625950682335485,0.8893,274.3301270189222,274.3301270189222,-0.6259506823354855,0.7739,1.6633
65,9.0,274.96002474839855,274.3301270189222,274.3301270189222,-0.6298977294763404,1.518,1.0076,0.5105,254.3301270189222,254.3301270189222,-20.62989772947634,0.8893,274.3301270189222,274.3301270189222,-0.6298977294763404,0.7742,1.6635
66,9.0,274.96378670964725,274.3301270189222,274.3301270189222,-0.6336596907250396,1.5183,1.0076,0.5108,254.3301270189222,254.3301270189222,-20.63365969072504,0.8892,274.3301270189222,274.3301270189222,-0.6336596907250396,0.7745,1.6638
67,9.0,274.96736344462414,274.3301270189222,274.3301270189222,-0.6372364257019285,1.5186,1.0075,0.5111,254.3301270189222,254.3301270189222,-20.63723642570193,0.8892,274.3301270189222,274.3301270189222,-0.6372364257019285,0.7748,1.664
68,9.0,274.97075481986155,274.3301270189222,274.3301270189222,-0.6406278009393418,1.5189,1.0075,0.5114,254.3301270189222,254.3301270189222,-20.640627800939342,0.8892,274.3301270189222,274.3301270189222,-0.6406278009393418,0.775,1.6642
69,9.0,274.97396070880865,274.3301270189222,274.3301270189222,-0.643833689886435,1.5192,1.0075,0.5117,254.3301270189222,254.3301270189222,-20.643833689886435,0.8891,274.3301270189222,274.3301270189222,-0.643833689886435,0.7753,1.6644
70,9.0,274.9769809918359,274.3301270189222,274.3301270189222,-0.6468539729136751,1.5195,1.0075,0.5119,254.3301270189222,254.3301270189222,-20.646853972913675,0.8891,274.3301270189222,274.3301270189222,-0.6468539729136751,0.7755,1.6646
71,9.0,274.97981555623994,274.3301270189222,274.3301270189222,-0.6496885373177292,1.5197,1.0075,0.5122,254.3301270189222,254.3301270189222,-20.64968853731773,0.8891,274.3301270189222,274.3301270189222,-0.6496885373177292,0.7757,1.6648
72,9.0,274.98246429624754,274.3301270189222,274.3301270189222,-0.65233727732533,1.5199,1.0075,0.5124,254.3301270189222,254.3301270189222,-20.65233727732533,0.889,274.3301270189222,274.3301270189222,-0.65233727732533,0.7759,1.665
73,9.0,274.9849271130195,274.3301270189222,274.3301270189222,-0.6548000940973111,1.5201,1.0075,0.5126,254.3301270189222,254.3301270189222,-20.65480009409731,0.889,274.3301270189222,274.3301270189222,-0.6548000940973111,0.7761,1.6651
74,9.0,274.98720391465474,274.3301270189222,274.3301270189222,-0.6570768957325299,1.5203,1.0075,0.5128,254.3301270189222,254.3301270189222,-20.65707689573253,0.889,274.3301270189222,274.3301270189222,-0.6570768957325299,0.7763,1.6653
75,9.0,274.98929461619304,274.3301270189222,274.3301270189222,-0.6591675972708231,1.5205,1.0075,0.513,254.3301270189222,254.3301270189222,-20.659167597270823,0.8889,274.3301270189222,274.3301270189222,-0.6591675972708231,0.7764,1.6654
76,9.0,274.9911991396188,274.3301270189222,274.3301270189222,-0.6610721206965877,1.5207,1.0075,0.5131,254.3301270189222,254.3301270189222,-20.661072120696588,0.8889,274.3301270189222,274.3301270189222,-0.6610721206965877,0.7766,1.6655
77,9.0,274.9929174138639,274.3301270189222,274.3301270189222,-0.6627903949416805,1.5208,1.0075,0.5133,254.3301270189222,254.3301270189222,-20.66279039494168,0.8889,274.3301270189222,274.3301270189222,-0.6627903949416805,0.7767,1.6656
78,9.0,274.99444937480985,274.3301270189222,274.3301270189222,-0.6643223558876343,1.521,1.0075,0.5134,254.3301270189222,254.3301270189222,-20.664322355887634,0.8889,274.3301270189222,274.3301270189222,-0.6643223558876343,0.7768,1.6657
79,9.0,274.9957949652909,274.3301270189222,274.3301270189222,-0.6656679463686714,1.5211,1.0075,0.5135,254.3301270189222,254.3301270189222,-20.66566794636867,0.8889,274.3301270189222,274.3301270189222,-0.6656679463686714,0.7769,1.6658
80,9.0,274.9969541350955,274.3301270189222,274.3301270189222,-0.6668271161732946,1.5212,1.0075,0.5136,254.3301270189222,254.3301270189222,-20.666827116173295,0.8889,274.3301270189222,274.3301270189222,-0.6668271161732946,0.777,1.6659
81,9.0,274.9979268409687,274.3301270189222,274.3301270189222,-0.6677998220465042,1.5213,1.0075,0.5137,254.3301270189222,254.3301270189222,-20.667799822046504,0.8888,274.3301270189222,274.3301270189222,-0.6677998220465042,0.7771,1.6659
82,9.0,274.9987130466135,274.3301270189222,274.3301270189222,-0.6685860276912763,1.5213,1.0075,0.5138,254.3301270189222,254.3301270189222,-20.668586027691276,0.8888,274.3301270189222,274.3301270189222,-0.6685860276912763,0.7771,1.666
83,9.0,274.9993127226922,274.3301270189222,274.3301270189222,-0.6691857037699833,1.5214,1.0075,0.5138,254.3301270189222,254.3301270189222,-20.669185703769983,0.8888,274.3301270189222,274.3301270189222,-0.6691857037699833,0.7772,1.666
84,9.0,274.9997258468276,274.3301270189222,274.3301270189222,-0.6695988279053608,1.5214,1.0075,0.5139,254.3301270189222,254.3301270189222,-20.66959882790536,0.8888,274.3301270189222,274.3301270189222,-0.6695988279053608,0.7772,1.6661
85,9.0,274.9999524036037,274.3301270189222,274.3301270189222,-0.6698253846814737,1.5214,1.0075,0.5139,254.3301270189222,254.3301270189222,-20.669825384681474,0.8888,274.3301270189222,274.3301270189222,-0.6698253846814737,0.7772,1.6661
86,9.0,274.99999238456644,274.3301270189222,274.3301270189222,-0.6698653656442275,1.5214,1.0075,0.5139,254.3301270189222,254.3301270189222,-20.669865365644227,0.8888,274.3301270189222,274.3301270189222,-0.6698653656442275,0.7772,1.6661
87,9.0,274.9998457882239,274.3301270189222,274.3301270189222,-0.6697187693017099,1.5214,1.0075,0.5139,254.3301270189222,254.3301270189222,-20.66971876930171,0.8888,274.3301270189222,274.3301270189222,-0.6697187693017099,0.7772,1.6661
88,9.0,274.9995126200465,274.3301270189222,274.3301270189222,-0.6693856011243042,1.5214,1.0075,0.5139,254.3301270189222,254.3301270189222,-20.669385601124304,0.8888,274.3301270189222,274.3301270189222,-0.6693856011243042,0.7772,1.666
89,9.0,274.9989928924665,274.3301270189222,274.3301270189222,-0.6688658735442914,1.5213,1.0075,0.5138,254.3301270189222,254.3301270189222,-20.66886587354429,0.8888,274.3301270189222,274.3301270189222,-0.6688658735442914,0.7772,1.666
90,9.0,274.9982866248778,274.3301270189222,274.3301270189222,-0.6681596059555659,1.5213,1.0075,0.5137,254.3301270189222,254.3301270189222,-20.668159605955566,0.8888,274.3301270189222,274.3301270189222,-0.6681596059555659,0.7771,1.666
91,9.0,274.9973938436351,274.3301270189222,274.3301270189222,-0.6672668247128968,1.5212,1.0075,0.5137,254.3301270189222,254.3301270189222,-20.667266824712897,0.8889,274.3301270189222,274.3301270189222,-0.6672668247128968,0.7771,1.6659
92,9.0,274.9963145820531,274.3301270189222,274.3301270189222,-0.6661875631309044,1.5211,1.0075,0.5136,254.3301270189222,254.3301270189222,-20.666187563130904,0.8889,274.3301270189222,274.3301270189222,-0.6661875631309044,0.777,1.6658
93,9.0,274.99504888040497,274.3301270189222,274.3301270189222,-0.6649218614827532,1.521,1.0075,0.5135,254.3301270189222,254.3301270189222,-20.664921861482753,0.8889,274.3301270189222,274.3301270189222,-0.6649218614827532,0.7769,1.6658
94,9.0,274.99359678592094,274.3301270189222,274.3301270189222,-0.6634697669987304,1.5209,1.0075,0.5133,254.3301270189222,254.3301270189222,-20.66346976699873,0.8889,274.3301270189222,274.3301270189222,-0.6634697669987304,0.7768,1.6657
95,9.0,274.99195835278675,274.3301270189222,274.3301270189222,-0.6618313338645407,1.5207,1.0075,0.5132,254.3301270189222,254.3301270189222,-20.66183133386454,0.8889,274.3301270189222,274.3301270189222,-0.6618313338645407,0.7766,1.6656
96,9.0,274.99013364214136,274.3301270189222,274.3301270189222,-0.6600066232191466,1.5206,1.0075,0.513,254.3301270189222,254.3301270189222,-20.660006623219147,0.8889,274.3301270189222,274.3301270189222,-0.6600066232191466,0.7765,1.6654
97,9.0,274.9881227220748,274.3301270189222,274.3301270189222,-0.6579957031526078,1.5204,1.0075,0.5129,254.3301270189222,254.3301270189222,-20.657995703152608,0.889,274.3301270189222,274.3301270189222,-0.6579957031526078,0.7764,1.6653
98,9.0,274.98592566762557,274.3301270189222,274.3301270189222,-0.6557986487033531,1.5202,1.0075,0.5127,254.3301270189222,254.3301270189222,-20.655798648703353,0.889,274.3301270189222,274.3301270189222,-0.6557986487033531,0.7762,1.6652
99,9.0,274.98354256077795,274.3301270189222,274.3301270189222,-0.6534155418557361,1.52,1.0075,0.5125,254.3301270189222,254.3301270189222,-20.653415541855736,0.889,274.3301270189222,274.3301270189222,-0.6534155418557361,0.776,1.665
100,9.0,274.9809734904587,274.3301270189222,274.3301270189222,-0.6508464715365108,1.5198,1.0075,0.5123,254.3301270189222,254.3301270189222,-20.65084647153651,0.889,274.3301270189222,274.3301270189222,-0.6508464715365108,0.7758,1.6649
101,9.0,274.97821855253414,274.3301270189222,274.3301270189222,-0.6480915336119324,1.5196,1.0075,0.512,254.3301270189222,254.3301270189222,-20.648091533611932,0.8891,274.3301270189222,274.3301270189222,-0.6480915336119324,0.7756,1.6647
102,9.0,274.9752778498061,274.3301270189222,274.3301270189222,-0.6451508308838925,1.5193,1.0075,0.5118,254.3301270189222,254.3301270189222,-20.645150830883892,0.8891,274.3301270189222,274.3301270189222,-0.6451508308838925,0.7754,1.6645
103,9.0,274.97215149200855,274.3301270189222,274.3301270189222,-0.6420244730863374,1.5191,1.0075,0.5115,254.3301270189222,254.3301270189222,-20.642024473086337,0.8891,274.3301270189222,274.3301270189222,-0.6420244730863374,0.7751,1.6643
104,9.0,274.968839595803,274.3301270189222,274.3301270189222,-0.6387125768807778,1.5188,1.0075,0.5112,254.3301270189222,254.3301270189222,-20.638712576880778,0.8892,274.3301270189222,274.3301270189222,-0.6387125768807778,0.7749,1.6641
105,9.0,274.96534228477464,274.3301270189222,274.3301270189222,-0.6352152658524233,1.5185,1.0076,0.5109,254.3301270189222,254.3301270189222,-20.635215265852423,0.8892,274.3301270189222,274.3301270189222,-0.6352152658524233,0.7746,1.6639
106,9.0,274.96165968942745,274.3301270189222,274.3301270189222,-0.6315326705052371,1.5182,1.0076,0.5106,254.3301270189222,254.3301270189222,-20.631532670505237,0.8893,274.3301270189222,274.3301270189222,-0.6315326705052371,0.7744,1.6636
107,9.0,274.9577919471794,274.3301270189222,274.3301270189222,-0.6276649282571611,1.5178,1.0076,0.5103,254.3301270189222,254.3301270189222,-20.62766492825716,0.8893,274.3301270189222,274.3301270189222,-0.6276649282571611,0.7741,1.6634
108,9.0,274.9537392023572,274.3301270189222,274.3301270189222,-0.6236121834350001,1.5175,1.0076,0.5099,254.3301270189222,254.3301270189222,-20.623612183435,0.8894,274.3301270189222,274.3301270189222,-0.6236121834350001,0.7738,1.6631
109,9.0,274.94950160619123,274.3301270189222,274.3301270189222,-0.6193745872690215,1.5171,1.0076,0.5096,254.3301270189222,254.3301270189222,-20.61937458726902,0.8894,274.3301270189222,274.3301270189222,-0.6193745872690215,0.7734,1.6628
110,9.0,274.9450793168096,274.3301270189222,274.3301270189222,-0.6149522978873847,1.5167,1.0076,0.5092,254.3301270189222,254.3301270189222,-20.614952297887385,0.8895,274.3301270189222,274.3301270189222,-0.6149522978873847,0.7731,1.6626
