l-1,theta_l-1,theta_l,k,c,w_l-1
0,-0.5,0.5,2.09,8.89,0.0016
1,0.5,1.5,2.088321,8.937432,0.001594
2,1.5,2.5,2.08685,8.982467,0.001589
3,2.5,3.5,2.085587,9.025104,0.001583
4,3.5,4.5,2.084531,9.065343,0.001576
5,4.5,5.5,2.083683,9.103185,0.00157
6,5.5,6.5,2.083043,9.138629,0.001563
7,6.5,7.5,2.082611,9.171675,0.001555
8,7.5,8.5,2.082386,9.202324,0.001548
9,8.5,9.5,2.082369,9.230576,0.00154
10,9.5,10.5,2.08256,9.256429,0.001532
11,10.5,11.5,2.082958,9.279885,0.001524
12,11.5,12.5,2.083564,9.300944,0.001516
13,12.5,13.5,2.084378,9.319604,0.001507
14,13.5,14.5,2.0854,9.335867,0.001498
15,14.5,15.5,2.08663,9.349733,0.001489
16,15.5,16.5,2.088067,9.361201,0.00148
17,16.5,17.5,2.089712,9.370271,0.001471
18,17.5,18.5,2.091564,9.376944,0.001462
19,18.5,19.5,2.093625,9.381219,0.001452
20,19.5,20.5,2.095893,9.383096,0.001443
21,20.5,21.5,2.098369,9.382576,0.001433
22,21.5,22.5,2.101053,9.379658,0.001424
23,22.5,23.5,2.103944,9.374342,0.001414
24,23.5,24.5,2.107043,9.366629,0.001404
25,24.5,25.5,2.11035,9.356518,0.001395
26,25.5,26.5,2.113864,9.34401,0.001385
27,26.5,27.5,2.117587,9.329104,0.001376
28,27.5,28.5,2.121517,9.3118,0.001366
29,28.5,29.5,2.125654,9.292099,0.001357
30,29.5,30.5,2.13,9.27,0.001347
31,30.5,31.5,2.134553,9.245503,0.001338
32,31.5,32.5,2.139314,9.218609,0.001329
33,32.5,33.5,2.144283,9.189318,0.00132
34,33.5,34.5,2.149459,9.157628,0.001311
35,34.5,35.5,2.154844,9.123541,0.001303
36,35.5,36.5,2.160436,9.087056,0.001294
37,36.5,37.5,2.166235,9.048174,0.001286
38,37.5,38.5,2.172243,9.006894,0.001278
39,38.5,39.5,2.178458,8.963217,0.00127
40,39.5,40.5,2.184881,8.917142,0.001263
41,40.5,41.5,2.191511,8.868669,0.001256
42,41.5,42.5,2.19835,8.817798,0.001249
43,42.5,43.5,2.205396,8.76453,0.001242
44,43.5,44.5,2.21265,8.708865,0.001236
45,44.5,45.5,2.220111,8.650801,0.00123
46,45.5,46.5,2.227483,8.59362,0.001224
47,46.5,47.5,2.234467,8.5406,0.001219
48,47.5,48.5,2.241064,8.49174,0.001214
49,48.5,49.5,2.247273,8.447042,0.001209
50,49.5,50.5,2.253095,8.406505,0.001205
51,50.5,51.5,2.258529,8.37013,0.001202
52,51.5,52.5,2.263576,8.337915,0.001199
53,52.5,53.5,2.268235,8.309862,0.001196
54,53.5,54.5,2.272507,8.285969,0.001194
55,54.5,55.5,2.276391,8.266238,0.001192
56,55.5,56.5,2.279888,8.250668,0.001191
57,56.5,57.5,2.282997,8.23926,0.00119
58,57.5,58.5,2.285719,8.232012,0.00119
59,58.5,59.5,2.288053,8.228925,0.00119
60,59.5,60.5,2.29,8.23,0.001191
61,60.5,61.5,2.291559,8.235236,0.001193
62,61.5,62.5,2.292731,8.244633,0.001195
63,62.5,63.5,2.293516,8.258191,0.001198
64,63.5,64.5,2.293912,8.27591,0.001202
65,64.5,65.5,2.293922,8.297791,0.001207
66,65.5,66.5,2.293544,8.323832,0.001212
67,66.5,67.5,2.292778,8.354035,0.001219
68,67.5,68.5,2.291625,8.388399,0.001226
69,68.5,69.5,2.290085,8.426924,0.001234
70,69.5,70.5,2.288156,8.46961,0.001244
71,70.5,71.5,2.285841,8.516457,0.001254
72,71.5,72.5,2.283138,8.567466,0.001266
73,72.5,73.5,2.280047,8.622635,0.001279
74,73.5,74.5,2.276569,8.681966,0.001294
75,74.5,75.5,2.272704,8.745458,0.00131
76,75.5,76.5,2.269036,8.811257,0.001327
77,76.5,77.5,2.266153,8.877509,0.001346
78,77.5,78.5,2.264053,8.944214,0.001366
79,78.5,79.5,2.262738,9.011372,0.001388
80,79.5,80.5,2.262206,9.078982,0.001411
81,80.5,81.5,2.262458,9.147046,0.001436
82,81.5,82.5,2.263494,9.215563,0.001463
83,82.5,83.5,2.265314,9.284532,0.001492
84,83.5,84.5,2.267917,9.353954,0.001523
85,84.5,85.5,2.271305,9.42383,0.001555
86,85.5,86.5,2.275476,9.494158,0.00159
87,86.5,87.5,2.280431,9.564939,0.001626
88,87.5,88.5,2.28617,9.636173,0.001665
89,88.5,89.5,2.292693,9.70786,0.001706
90,89.5,90.5,2.3,9.78,0.001749
91,90.5,91.5,2.308091,9.852593,0.001794
92,91.5,92.5,2.316965,9.925639,0.001841
93,92.5,93.5,2.326624,9.999137,0.00189
94,93.5,94.5,2.337066,10.073089,0.001941
95,94.5,95.5,2.348292,10.147493,0.001993
96,95.5,96.5,2.360302,10.222351,0.002046
97,96.5,97.5,2.373096,10.297661,0.0021
98,97.5,98.5,2.386674,10.373424,0.002154
99,98.5,99.5,2.401035,10.449641,0.002209
100,99.5,100.5,2.416181,10.52631,0.002264
101,100.5,101.5,2.43211,10.603432,0.002318
102,101.5,102.5,2.448823,10.681007,0.002373
103,102.5,103.5,2.46632,10.759035,0.002427
104,103.5,104.5,2.484601,10.837516,0.00248
105,104.5,105.5,2.503666,10.916449,0.002532
106,105.5,106.5,2.522565,10.993548,0.002583
107,106.5,107.5,2.540348,11.066523,0.002632
108,107.5,108.5,2.557016,11.135376,0.002679
109,108.5,109.5,2.572567,11.200105,0.002725
110,109.5,110.5,2.587003,11.260711,0.002768
111,110.5,111.5,2.600324,11.317194,0.002809
112,111.5,112.5,2.612528,11.369554,0.002847
113,112.5,113.5,2.623617,11.417791,0.002882
114,113.5,114.5,2.63359,11.461904,0.002914
115,114.5,115.5,2.642448,11.501895,0.002943
116,115.5,116.5,2.65019,11.537762,0.002968
117,116.5,117.5,2.656816,11.569506,0.002989
118,117.5,118.5,2.662326,11.597127,0.003006
119,118.5,119.5,2.666721,11.620625,0.003019
120,119.5,120.5,2.67,11.64,0.003027
121,120.5,121.5,2.672163,11.655252,0.00303
122,121.5,122.5,2.673211,11.66638,0.003029
123,122.5,123.5,2.673143,11.673386,0.003023
124,123.5,124.5,2.671959,11.676268,0.003014
125,124.5,125.5,2.669659,11.675027,0.003001
126,125.5,126.5,2.666244,11.669663,0.002985
127,126.5,127.5,2.661713,11.660176,0.002965
128,127.5,128.5,2.656066,11.646565,0.002943
129,128.5,129.5,2.649304,11.628832,0.002918
130,129.5,130.5,2.641426,11.606975,0.002891
131,130.5,131.5,2.632432,11.580996,0.002861
