l-1,theta_l-1,theta_l,k,c,w_l-1
0,-2.5,2.5,2.09,8.89,0.007999
1,2.5,7.5,2.083683,9.103185,0.007849
2,7.5,12.5,2.08256,9.256429,0.007662
3,12.5,17.5,2.08663,9.349733,0.007447
4,17.5,22.5,2.095893,9.383096,0.007214
5,22.5,27.5,2.11035,9.356518,0.006974
6,27.5,32.5,2.13,9.27,0.006738
7,32.5,37.5,2.154844,9.123541,0.006515
8,37.5,42.5,2.184881,8.917142,0.006315
9,42.5,47.5,2.220111,8.650801,0.006149
10,47.5,52.5,2.253095,8.406505,0.006028
11,52.5,57.5,2.276391,8.266238,0.00596
12,57.5,62.5,2.29,8.23,0.005958
13,62.5,67.5,2.293922,8.297791,0.006034
14,67.5,72.5,2.288156,8.46961,0.00622
15,72.5,77.5,2.272704,8.745458,0.006549
16,77.5,82.5,2.262206,9.078982,0.007057
17,82.5,87.5,2.271305,9.42383,0.007778
18,87.5,92.5,2.3,9.78,0.008746
19,92.5,97.5,2.348292,10.147493,0.009965
20,97.5,102.5,2.416181,10.52631,0.011319
21,102.5,107.5,2.503666,10.916449,0.012661
22,107.5,112.5,2.587003,11.260711,0.013842
23,112.5,117.5,2.642448,11.501895,0.014716
24,117.5,122.5,2.67,11.64,0.015135
25,122.5,127.5,2.669659,11.675027,0.015007
26,127.5,132.5,2.641426,11.606975,0.014455
27,132.5,137.5,2.5853,11.435846,0.013656
28,137.5,142.5,2.523552,11.242306,0.012791
29,142.5,147.5,2.478452,11.107024,0.012035
30,147.5,152.5,2.45,11.03,0.011567
31,152.5,157.5,2.438196,11.011234,0.011522
32,157.5,162.5,2.443041,11.050726,0.011854
33,162.5,167.5,2.464534,11.148476,0.012478
34,167.5,172.5,2.489463,11.27212,0.013305
35,172.5,177.5,2.504619,11.389295,0.014248
36,177.5,182.5,2.51,11.5,0.015218
37,182.5,187.5,2.505607,11.604235,0.016142
38,187.5,192.5,2.49144,11.702001,0.017001
39,192.5,197.5,2.467498,11.793298,0.017787
40,197.5,202.5,2.440779,11.866083,0.018494
41,202.5,207.5,2.41828,11.908317,0.019117
42,207.5,212.5,2.4,11.92,0.019649
43,212.5,217.5,2.385939,11.901131,0.020085
44,217.5,222.5,2.376098,11.851711,0.020417
45,222.5,227.5,2.370477,11.771739,0.02064
46,227.5,232.5,2.36586,11.676936,0.020748
47,232.5,237.5,2.359035,11.583023,0.020735
48,237.5,242.5,2.35,11.49,0.020595
49,242.5,247.5,2.338756,11.397867,0.020332
50,247.5,252.5,2.325303,11.306624,0.019986
51,252.5,257.5,2.309641,11.21627,0.019611
52,257.5,262.5,2.294059,11.14119,0.019257
53,262.5,267.5,2.280845,11.095767,0.018976
54,267.5,272.5,2.27,11.08,0.018819
55,272.5,277.5,2.261524,11.09389,0.01882
56,277.5,282.5,2.255416,11.137437,0.018939
57,282.5,287.5,2.251678,11.21064,0.019116
58,287.5,292.5,2.248677,11.283702,0.019294
59,292.5,297.5,2.244785,11.326822,0.019414
60,297.5,302.5,2.24,11.34,0.019417
61,302.5,307.5,2.234323,11.323237,0.019256
62,307.5,312.5,2.227754,11.276533,0.018928
63,312.5,317.5,2.220292,11.199887,0.018439
64,317.5,322.5,2.211655,11.089933,0.017797
65,322.5,327.5,2.201557,10.943304,0.017009
66,327.5,332.5,2.19,10.76,0.016081
67,332.5,337.5,2.176983,10.540021,0.015022
68,337.5,342.5,2.162506,10.283367,0.013838
69,342.5,347.5,2.146569,9.990038,0.012537
70,347.5,352.5,2.129173,9.660033,0.011125
71,352.5,357.5,2.110316,9.293354,0.00961
