,Power[MW],No-wake[MW],CF[%],Eff[%],Loss[%]
1,1.074,1.096,53.702,97.961,2.039
2,1.071,1.096,53.532,97.65,2.35
3,1.07,1.096,53.5,97.593,2.407
4,1.083,1.096,54.171,98.816,1.184
5,1.068,1.096,53.378,97.37,2.63
6,1.063,1.096,53.156,96.966,3.034
7,1.057,1.096,52.864,96.432,3.568
8,1.062,1.096,53.108,96.878,3.122
9,1.06,1.096,53.01,96.699,3.301
10,1.073,1.096,53.628,97.826,2.174
11,1.057,1.096,52.859,96.423,3.577
12,1.049,1.096,52.439,95.658,4.342
13,1.055,1.096,52.765,96.251,3.749
14,1.068,1.096,53.421,97.448,2.552
15,1.052,1.096,52.603,95.957,4.043
16,1.062,1.096,53.101,96.865,3.135
17,1.055,1.096,52.752,96.229,3.771
18,1.06,1.096,53.003,96.686,3.314
19,1.057,1.096,52.866,96.436,3.564
20,1.07,1.096,53.518,97.626,2.374
21,1.067,1.096,53.356,97.331,2.669
22,1.059,1.096,52.953,96.595,3.405
23,1.062,1.096,53.114,96.889,3.111
24,1.06,1.096,53.015,96.709,3.291
25,1.075,1.096,53.742,98.034,1.966
