,N=5,下限,上限,,N=9,下限,上限,,N=25,下限,上限
1,0.655537,0.655,0.73,,0.671388889,0.67,0.73,,0.671388889,0.67,0.73
2,0.667897,0.655,0.73,,0.677283333,0.67,0.73,,0.677283333,0.67,0.73
3,0.678014,0.655,0.73,,0.682333333,0.67,0.73,,0.682333333,0.67,0.73
4,0.686046,0.655,0.73,,0.689216667,0.67,0.73,,0.689216667,0.67,0.73
5,0.691482,0.655,0.73,,0.693922222,0.67,0.73,,0.693922222,0.67,0.73
6,0.69463,0.655,0.73,,0.696355556,0.67,0.73,,0.696355556,0.67,0.73
7,0.699514,0.655,0.73,,0.698922222,0.67,0.73,,0.698922222,0.67,0.73
8,0.701952,0.655,0.73,,0.700655556,0.67,0.73,,0.700655556,0.67,0.73
9,0.703642,0.655,0.73,,0.703677778,0.67,0.73,,0.703677778,0.67,0.73
10,0.70458,0.655,0.73,,0.706094444,0.67,0.73,,0.706094444,0.67,0.73
11,0.70599,0.655,0.73,,0.707372222,0.67,0.73,,0.707372222,0.67,0.73
12,0.7078,0.655,0.73,,0.708455556,0.67,0.73,,0.708455556,0.67,0.73
13,0.708755,0.655,0.73,,0.709455556,0.67,0.73,,0.709455556,0.67,0.73
14,0.710566,0.655,0.73,,0.710911111,0.67,0.73,,0.710911111,0.67,0.73
15,0.711666,0.655,0.73,,0.711961111,0.67,0.73,,0.711961111,0.67,0.73
16,0.713023,0.655,0.73,,0.712266667,0.67,0.73,,0.712266667,0.67,0.73
17,0.713331,0.655,0.73,,0.712572222,0.67,0.73,,0.712572222,0.67,0.73
18,0.714148,0.655,0.73,,0.713511111,0.67,0.73,,0.713511111,0.67,0.73
19,0.71519,0.655,0.73,,0.714366667,0.67,0.73,,0.714366667,0.67,0.73
20,0.716677,0.655,0.73,,0.714511111,0.67,0.73,,0.714511111,0.67,0.73
21,0.717256,0.655,0.73,,0.714711111,0.67,0.73,,0.714711111,0.67,0.73
22,0.717587,0.655,0.73,,0.715227778,0.67,0.73,,0.715227778,0.67,0.73
23,0.718368,0.655,0.73,,0.715716667,0.67,0.73,,0.715716667,0.67,0.73
24,0.718754,0.655,0.73,,0.716088889,0.67,0.73,,0.716088889,0.67,0.73
25,0.719477,0.655,0.73,,0.7168,0.67,0.73,,0.7168,0.67,0.73
26,0.720186,0.655,0.73,,0.717127778,0.67,0.73,,0.717127778,0.67,0.73
27,0.720986,0.655,0.73,,0.717694444,0.67,0.73,,0.717694444,0.67,0.73
28,0.721277,0.655,0.73,,0.718805556,0.67,0.73,,0.718805556,0.67,0.73
29,0.722196,0.655,0.73,,0.719016667,0.67,0.73,,0.719016667,0.67,0.73
30,0.723001,0.655,0.73,,0.719377778,0.67,0.73,,0.719377778,0.67,0.73
31,0.723632,0.655,0.73,,0.719983333,0.67,0.73,,0.719983333,0.67,0.73
32,0.724106,0.655,0.73,,0.720061111,0.67,0.73,,0.720061111,0.67,0.73
33,0.724828,0.655,0.73,,0.720255556,0.67,0.73,,0.720255556,0.67,0.73
34,0.725206,0.655,0.73,,0.720538889,0.67,0.73,,0.720538889,0.67,0.73
35,0.725326,0.655,0.73,,0.720833333,0.67,0.73,,0.720833333,0.67,0.73
36,0.725679,0.655,0.73,,0.720961111,0.67,0.73,,0.720961111,0.67,0.73
37,0.726108,0.655,0.73,,0.721255556,0.67,0.73,,0.721255556,0.67,0.73
38,0.726355,0.655,0.73,,0.721327778,0.67,0.73,,0.721327778,0.67,0.73
39,0.726855,0.655,0.73,,0.721738889,0.67,0.73,,0.721738889,0.67,0.73
40,0.72751,0.655,0.73,,0.721861111,0.67,0.73,,0.721861111,0.67,0.73
41,0.727515,0.655,0.73,,0.721933333,0.67,0.73,,0.721933333,0.67,0.73
42,0.727539,0.655,0.73,,0.722016667,0.67,0.73,,0.722016667,0.67,0.73
43,0.728244,0.655,0.73,,0.722355556,0.67,0.73,,0.722355556,0.67,0.73
44,0.728265,0.655,0.73,,0.722955556,0.67,0.73,,0.722955556,0.67,0.73
45,0.728265,0.655,0.73,,0.723327778,0.67,0.73,,0.723327778,0.67,0.73
46,0.728297,0.655,0.73,,0.72355,0.67,0.73,,0.72355,0.67,0.73
47,0.728298,0.655,0.73,,0.724038889,0.67,0.73,,0.724038889,0.67,0.73
48,0.728327,0.655,0.73,,0.72435,0.67,0.73,,0.72435,0.67,0.73
49,0.728328,0.655,0.73,,0.724761111,0.67,0.73,,0.724761111,0.67,0.73
50,0.728328,0.655,0.73,,0.7249,0.67,0.73,,0.7249,0.67,0.73
